Haltestelle;Linie;Status;Ausstieg;Aufzug;Rolltreppe
Aachener Straße/Gürtel;1, 7;barrierefrei;;;
Aachener Straße/Gürtel;13;nicht barrierefrei - Ausstieg;;;
Akazienweg;3, 4;barrierefrei;;;
Alter Flughafen Butzweilerhof;5;barrierefrei;;;
Alter Militärring;1;barrierefrei;;;
Altonaer Platz;15;barrierefrei;;;
Am Emberg;4;eingeschraenkt barrierefrei;;;
Amsterdamer Straße/Gürtel;13;barrierefrei;;;
Amsterdamer Straße/Gürtel;16;eingeschraenkt barrierefrei;;;
Appellhofplatz/Breite Straße;3, 4, 16, 18;barrierefrei;;;
Appellhofplatz/Zeughaus;5;nicht barrierefrei;;;
Arnulfstraße;18;barrierefrei;;;
Autobahn;9;barrierefrei;;;
Bahnstraße;1;barrierefrei;;;
Barbarossaplatz;12, 15;barrierefrei;;;
Barbarossaplatz;16, 18;nicht barrierefrei;;;
Baumschulenweg;7;barrierefrei;;;
Bayenthalgürtel;16, 17;barrierefrei;;;
Bensberg;1;barrierefrei;;;
Berrenrather Straße/Gürtel;13;nicht barrierefrei;;;
Bf Deutz/LANXESSarena;3, 4;barrierefrei;;;
Bf Deutz/Messe;1, 9;barrierefrei;;;
Bf Mülheim;13, 18;barrierefrei;;;
Bocklemünd;3, 4;barrierefrei;;;
Boltensternstraße;18;barrierefrei;;;
Bonner Wall;17;barrierefrei;;;
Brahmsstraße;7;barrierefrei;;;
Breslauer Platz/Hbf;5, 16, 18;barrierefrei;;;
Brück Mauspfad;1;barrierefrei;;;
Brühl Mitte;18;eingeschraenkt barrierefrei;;;
Brühl Nord;18;barrierefrei;;;
Brühl Vochem;18;barrierefrei;;;
Buchforst Waldecker Straße;3;barrierefrei;;;
Buchheim Frankfurter Straße;3;barrierefrei;;;
Buchheim Herler Straße;3, 13, 18;barrierefrei;;;
Chlodwigplatz;15, 17;barrierefrei;;;
Chlodwigplatz;16;nicht barrierefrei;;;
Chorweiler;15;barrierefrei;;;
Christophstraße/Mediapark;12, 15;barrierefrei;;;
Clarenbachstift;1;barrierefrei;;;
Dasselstraße/Bf Süd;9;barrierefrei;;;
Dellbrück Hauptstraße;3, 13;barrierefrei;;;
Dellbrück Mauspfad;3, 13;barrierefrei;;;
Deutz Fachhochschule;1, 9;nicht barrierefrei;;;
Deutzer Freiheit;7;barrierefrei;;;
Deutzer Freiheit;1, 9;eingeschraenkt barrierefrei;;;
Dom/Hbf;5, 16, 18;barrierefrei;;;
Drehbrücke;7;barrierefrei;;;
Dürener Straße/Gürtel;7;barrierefrei;;;
Dürener Straße/Gürtel;13;nicht barrierefrei;;;
Ebertplatz;12, 15, 16, 18;barrierefrei;;;
Efferen;18;barrierefrei;;;
Eifelplatz;12;barrierefrei;;;
Eifelstraße;12, 15;barrierefrei;;;
Eifelstraße;16;nicht barrierefrei;;;
Eifelwall;18;barrierefrei;;;
Ensen Gilgaustraße;7;barrierefrei;;;
Ensen Gilgaustraße;7;eingeschraenkt barrierefrei;;;
Ensen Kloster;7;barrierefrei;;;
Escher Straße;13;nicht barrierefrei;;;
Eupener Straße;1;barrierefrei;;;
Euskirchener Straße;13;nicht barrierefrei;;;
Fischenich;18;barrierefrei;;;
Flehbachstraße;1;barrierefrei;;;
Florastraße;12, 15;barrierefrei;;;
Fordwerke Mitte;12;barrierefrei;;;
Fordwerke Nord;12;barrierefrei;;;
Fordwerke Süd;12;barrierefrei;;;
Frankenforst;1;barrierefrei;;;
Frechen Benzelrath;7;barrierefrei;;;
Frechen Bf;7;barrierefrei;;;
Frechen Kirche;7;barrierefrei;;;
Frechen Rathaus;7;barrierefrei;;;
Friesenplatz;3, 4, 5, 12, 15;nicht barrierefrei;;;
Fuldaer Straße;1;nicht barrierefrei;;;
Geestemünder Straße;12;barrierefrei;;;
Geldernstraße/Parkgürtel;13;nicht barrierefrei;;;
Gleueler Straße/Gürtel;13;nicht barrierefrei;;;
Godorf Bf;16;eingeschraenkt barrierefrei;;;
Gottesweg;12;barrierefrei;;;
Grünstraße;4;barrierefrei;;;
Gutenbergstraße;5;barrierefrei;;;
Hans-Böckler-Platz/Bf West;3, 4, 5;barrierefrei;;;
Hansaring;12, 15;barrierefrei;;;
Haus Vorst;7;eingeschraenkt barrierefrei;;;
Heimersdorf;15;barrierefrei;;;
Heinrich-Lübke-Ufer;16, 17;barrierefrei;;;
Herforder Straße;15;barrierefrei;;;
Herthastraße;12;barrierefrei;;;
Heumarkt;1, 5, 7, 9;barrierefrei;;;
Holweide Vischeringstraße;3, 13, 18;barrierefrei;;;
Hürth-Hermülheim;18;barrierefrei;;;
Iltisstraße;5;barrierefrei;;;
Im Hoppenkamp;1;eingeschraenkt barrierefrei;;;
Im Weidenbruch;4;barrierefrei;;;
Junkersdorf;1;barrierefrei;;;
Kalk Kapelle;1, 9;barrierefrei;;;
Kalk Post;1, 9;barrierefrei;;;
Kalker Friedhof;1;barrierefrei;;;
Kartäuserhof;17;barrierefrei;;;
Keupstraße;4;barrierefrei;;;
Kiebitzweg;18;barrierefrei;;;
Kinderkrankenhaus;16;barrierefrei;;;
Kippekausen;1;barrierefrei;;;
Klettenbergpark;18;barrierefrei;;;
Koelnmesse;3, 4;barrierefrei;;;
Kölner Straße;1;barrierefrei;;;
Königsforst;9;barrierefrei;;;
Körnerstraße;3, 4;barrierefrei;;;
Lenauplatz;5;barrierefrei;;;
Leuchterstraße;4;barrierefrei;;;
Leyendeckerstraße;3, 4;barrierefrei;;;
Liebigstraße;5;barrierefrei;;;
Lohsestraße;12, 15;nicht barrierefrei;;;
Longerich Friedhof;15;nicht barrierefrei;;;
Longericher Straße;15;barrierefrei;;;
Lustheide;1;barrierefrei;;;
Maarweg;1;barrierefrei;;;
Margaretastraße;5;barrierefrei;;;
Maria Himmelfahrt Straße;3, 13;barrierefrei;;;
Marsdorf;7;eingeschraenkt barrierefrei;;;
Mauritiuskirche;9;barrierefrei;;;
Meerfeldstraße;15;barrierefrei;;;
Melaten;1, 7;barrierefrei;;;
Melatengürtel;13;nicht barrierefrei;;;
Merheim;1;barrierefrei;;;
Merkenich;12;barrierefrei;;;
Merkenich Mitte;12;barrierefrei;;;
Michaelshoven;16, 17;barrierefrei;;;
Mohnweg;1;barrierefrei;;;
Mollwitzstraße;12, 15;barrierefrei;;;
Moltkestraße;1, 7;barrierefrei;;;
Mommsenstraße;9;barrierefrei;;;
Mühlengasse;7;barrierefrei;;;
Mülheim Berliner Straße;4;barrierefrei;;;
Mülheim Wiener Platz;4, 13, 18;barrierefrei;;;
Nesselrodestraße;16;barrierefrei;;;
Neuenweg;1;barrierefrei;;;
Neufelder Straße;3, 13;barrierefrei;;;
Neumarkt;1, 3, 4, 7, 9, 16, 18;barrierefrei;;;
Neusser Straße/Gürtel;12, 13, 15;barrierefrei;;;
Niehl Nord;12;barrierefrei;;;
Niehl Sebastianstraße;16;barrierefrei;;;
Nußbaumerstraße;5, 13;nicht barrierefrei;;;
Odenthaler Straße;4;barrierefrei;;;
Ollenhauerring;3;barrierefrei;;;
Ostheim;9;barrierefrei;;;
Piusstraße;3, 4;barrierefrei;;;
Pohligstraße;12;barrierefrei;;;
Poll Salmstraße;7;barrierefrei;;;
Poller Kirchweg;7;barrierefrei;;;
Porz Markt;7;barrierefrei;;;
Porz Steinstraße;7;barrierefrei;;;
Porzer Straße;9;barrierefrei;;;
