Haltestelle;Haltestelle_Name;Gleis;Linie;Fahrtrichtung;Ebene;Aufzug_vorhanden;Rolltreppe_vorhanden
AMG;AmsterdamerStr Guertel;1;13;Thielenbruch;;JA;NEIN
AMG;AmsterdamerStr Guertel;2;13;Sülzgürtel;;JA;NEIN
AMG;AmsterdamerStr Guertel;3;13;Thielenbruch;;JA;NEIN
AMG;AmsterdamerStr Guertel;4;16;Bad Godesberg Stadthalle [Ubierring|SürthBf |Wesseling|Bonn Hbf];;JA;NEIN
APB;Appellhofplatz Breite Str;1;3;Thielenbruch;;JA;JA
APB;Appellhofplatz Breite Str;1;4;Schlebusch;;JA;JA
APB;Appellhofplatz Breite Str;1;16;Bad Godesberg Stadthalle [Ubierring|;;JA;JA
APB;Appellhofplatz Breite Str;1;18;Bonn Hbf [Klettenbergpark|Schwadorf];;JA;JA
APB;Appellhofplatz Breite Str;3;3;Görlinger-Zentrum;;JA;JA
APB;Appellhofplatz Breite Str;3;5;Heumarkt;;JA;JA
APB;Appellhofplatz Breite Str;3;4;Bocklemünd [Rochusplatz];;JA;JA
APB;Appellhofplatz Breite Str;2;16;Niehl Sebastianstr.;;JA;JA
APB;Appellhofplatz Breite Str;2;5;Sparkasse Am Butzweilerhof 4;;JA;JA
APB;Appellhofplatz Breite Str;2;18;Buchheim Herler Str. [Reichenspergerplatz];;JA;JA
ASG;Aachener Str Guertel;3;13;Sülzgürtel;;NEIN;NEIN
ASG;Aachener Str Guertel;3;7;Zündorf [Neumarkt];;NEIN;NEIN
ASG;Aachener Str Guertel;3;1;Bensberg [Brück Mauspfad | Refrath];;NEIN;NEIN
ASG;Aachener Str Guertel;2;7;Frechen-Benzelrath [Frechen Bf];;NEIN;NEIN
ASG;Aachener Str Guertel;4;7;Zündorf [Neumarkt];;NEIN;NEIN
ASG;Aachener Str Guertel;4;13;Thielenbruch;;NEIN;NEIN
BAB;Barbarossaplatz;3;16;Bad Godesberg Stadthalle;;NEIN;NEIN
BAB;Barbarossaplatz;3;18;Bonn Hbf [Klettenbergpark | Schwadorf];;NEIN;NEIN
BAB;Barbarossaplatz;1;12;Merkenich [NiehlNord];;NEIN;NEIN
BAB;Barbarossaplatz;1;15;Chorweiler [Longerich Friedhof];;NEIN;NEIN
BAB;Barbarossaplatz;4;16;Niehl Sebastianstr.;;NEIN;NEIN
BAB;Barbarossaplatz;4;18;Buchheim Herler Str. [Reichenspergerplatz];;NEIN;NEIN
BAB;Barbarossaplatz;2;12;Zollstock Südfriedhof;;NEIN;NEIN
BAB;Barbarossaplatz;2;15;Ubierring;;NEIN;NEIN
BFM;Bf Muelheim;8;18;Buchheim Herler Str.;;JA;JA
BFM;Bf Muelheim;9;13;Sülzgürtel;;JA;JA
BFM;Bf Muelheim;9;18;Bonn Hbf [Klettenbergpark | Schwadorf];;JA;JA
