Kurzname;Haltestelle;Linie;Gleis;Fahrtrichtung;Barrierefreiheit;Ebene;Ausstieg_aus_der_Bahn;Aufzug;Rolltreppe;Rampe;Aufzug_Fahrtrichtung_Hinweis
ABW;Bonner Wall;17;;;JA;;;;;;A1: Fahrtrichtung: Schönhauser Str. | A2: Fahrtrichtung: Chlodwigplatz
AEB;Am Emberg;4;;;eingeschraenkt;;;;;;
AKA;Akazienweg;3;;;JA;;;;;;A1: Mittelbahnsteig
AKA;Akazienweg;4;;;JA;;;;;;A1: Mittelbahnsteig
AMG;Amsterdamer Straße/Gürtel;13;1;Thielenbruch;JA;Hochbahn;;JA;NEIN;;A1: Fahrtrichtung: Venloer Str/ Gürtel - Sülzgürtel | A2: Fahrtrichtung: Mülheim - Holweide
AMG;Amsterdamer Straße/Gürtel;13;2;Sülzgürtel;JA;Hochbahn;;JA;NEIN;;A1: Fahrtrichtung: Venloer Str/ Gürtel - Sülzgürtel | A2: Fahrtrichtung: Mülheim - Holweide
AMG;Amsterdamer Straße/Gürtel;16;3;Niehl Sebastianstr.;eingeschraenkt;Straße;;JA;NEIN;;A1: Fahrtrichtung: Venloer Str/ Gürtel - Sülzgürtel | A2: Fahrtrichtung: Mülheim - Holweide
ANU;Arnulfstraße;18;;;JA;Straße;;;;;
APB;Appellhofplatz/Breite Straße;16;1;Bad Godesberg Stadthalle [Ubierring|;JA;U-Bahn;;JA;JA;;A1: Fahrtrichtung: Dom/Hbf - Friesenplatz - Ehrenfeld | A2: Fahrtrichtung: Neumarkt - Barbarossaplatz - Sülz 
APB;Appellhofplatz/Breite Straße;16;2;Niehl Sebastianstr.;JA;U-Bahn;;JA;JA;;A1: Fahrtrichtung: Dom/Hbf - Friesenplatz - Ehrenfeld | A2: Fahrtrichtung: Neumarkt - Barbarossaplatz - Sülz 
APB;Appellhofplatz/Breite Straße;18;1;Bonn Hbf [Klettenbergpark|Schwadorf];JA;U-Bahn;;JA;JA;;A1: Fahrtrichtung: Dom/Hbf - Friesenplatz - Ehrenfeld | A2: Fahrtrichtung: Neumarkt - Barbarossaplatz - Sülz 
APB;Appellhofplatz/Breite Straße;18;4;Buchheim Herler Str. [Reichenspergerplatz];JA;U-Bahn;;JA;JA;;A1: Fahrtrichtung: Dom/Hbf - Friesenplatz - Ehrenfeld | A2: Fahrtrichtung: Neumarkt - Barbarossaplatz - Sülz 
APB;Appellhofplatz/Breite Straße;3;1;Thielenbruch;JA;U-Bahn;;JA;JA;;A1: Fahrtrichtung: Dom/Hbf - Friesenplatz - Ehrenfeld | A2: Fahrtrichtung: Neumarkt - Barbarossaplatz - Sülz 
APB;Appellhofplatz/Breite Straße;3;3;Görlinger-Zentrum;JA;U-Bahn;;JA;JA;;A1: Fahrtrichtung: Dom/Hbf - Friesenplatz - Ehrenfeld | A2: Fahrtrichtung: Neumarkt - Barbarossaplatz - Sülz 
APB;Appellhofplatz/Breite Straße;4;1;Schlebusch;JA;U-Bahn;;JA;JA;;A1: Fahrtrichtung: Dom/Hbf - Friesenplatz - Ehrenfeld | A2: Fahrtrichtung: Neumarkt - Barbarossaplatz - Sülz 
APB;Appellhofplatz/Breite Straße;4;3;Bocklemünd [Rochusplatz];JA;U-Bahn;;JA;JA;;A1: Fahrtrichtung: Dom/Hbf - Friesenplatz - Ehrenfeld | A2: Fahrtrichtung: Neumarkt - Barbarossaplatz - Sülz 
APB;Appellhofplatz/Zeughaus;5;3;Heumarkt;NEIN;U-Bahn;;NEIN;JA;;A1: Fahrtrichtung: Dom/Hbf - Friesenplatz - Ehrenfeld | A2: Fahrtrichtung: Neumarkt - Barbarossaplatz - Sülz 
APB;Appellhofplatz/Zeughaus;5;4;Sparkasse Am Butzweilerhof;NEIN;U-Bahn;;NEIN;JA;;A1: Fahrtrichtung: Dom/Hbf - Friesenplatz - Ehrenfeld | A2: Fahrtrichtung: Neumarkt - Barbarossaplatz - Sülz 
ASG;Aachener Straße/Gürtel;1;3;Bensberg [Brück Mauspfad | Refrath];JA;Straße;;NEIN;NEIN;;
ASG;Aachener Straße/Gürtel;13;3;Sülzgürtel;NEIN;Straße;Hohe Stufen;NEIN;NEIN;;
ASG;Aachener Straße/Gürtel;13;4;Thielenbruch;NEIN;Straße;Hohe Stufen;NEIN;NEIN;;
ASG;Aachener Straße/Gürtel;7;2;Frechen-Benzelrath [Frechen Bf];JA;Straße;;NEIN;NEIN;;
ASG;Aachener Straße/Gürtel;7;3;Zündorf [Neumarkt];JA;Straße;;NEIN;NEIN;;
ASG;Aachener Straße/Gürtel;7;4;Zündorf [Neumarkt];JA;Straße;;NEIN;NEIN;;
ATP;Altonaer Platz;15;;;JA;;;;;;
AUT;Autobahn;9;;;JA;;;;;;
BAB;Barbarossaplatz;12;1;Merkenich [NiehlNord];JA;Straße;No steps;NEIN;NEIN;;
BAB;Barbarossaplatz;12;2;Zollstock Südfriedhof;JA;Straße;No steps;NEIN;NEIN;;
BAB;Barbarossaplatz;15;1;Chorweiler [Longerich Friedhof];JA;Straße;No steps;NEIN;NEIN;;
BAB;Barbarossaplatz;15;2;Ubierring;JA;Straße;No steps;NEIN;NEIN;;
BAB;Barbarossaplatz;16;3;Bad Godesberg Stadthalle;NEIN;Straße;High steps;NEIN;NEIN;;
BAB;Barbarossaplatz;16;4;Niehl Sebastianstr.;NEIN;Straße;High steps;NEIN;NEIN;;
BAB;Barbarossaplatz;18;3;Bonn Hbf [Klettenbergpark | Schwadorf];NEIN;Straße;High steps;NEIN;NEIN;;
BAB;Barbarossaplatz;18;4;Buchheim Herler Str. [Reichenspergerplatz];NEIN;Straße;High steps;NEIN;NEIN;;
BAH;Bahnstraße;1;;;JA;Straße;;;;;
BDK;Bf Deutz/LANXESS arena;3;;;JA;Straße;;;;;
BDK;Bf Deutz/LANXESS arena;4;;;JA;Straße;;;;;
BDM;Bf Deutz/Messe;1;;;JA;U-Bahn;;;;;A1: Fahrtrichtung: Deutzer Freiheit - Heumarkt | A2: Fahrtrichtung: Deutz Technische Hochschule | A3: Linie 3/4 Richtung Neumarkt / Kölnmesse - Mülheim - Buchforst <> Zwischenebene
BDM;Bf Deutz/Messe;9;;;JA;U-Bahn;;;;;A1: Fahrtrichtung: Deutzer Freiheit - Heumarkt | A2: Fahrtrichtung: Deutz Technische Hochschule | A3: Linie 3/4 Richtung Neumarkt / Kölnmesse - Mülheim - Buchforst <> Zwischenebene
BFG;Godorf Bf;16;;;eingeschraenkt;;;;;;
BFM;Bf Mülheim;13;;;JA;U-Bahn;;;;;A1: Ausgang S-Bahn | A2: Ausgang Frankfurter Straße
BFM;Bf Mülheim;18;;;JA;U-Bahn;;;;;A1: Ausgang S-Bahn | A2: Ausgang Frankfurter Straße
